"현황별(1)",현황별(2),2021,2021,2021,2021,2021,2021,2021,2021
"현황별(1)",현황별(2),기업수 (개),응답기업수 (개),기업 연구개발비 (백만원),기업 시설투자비 (백만원),기업 전체투자비 (백만원),바이오 연구개발비 (백만원),바이오 시설투자비 (백만원),바이오 전체투자비 (백만원)
"전체",소계,1055,1023,5783435,1177623,6961058,2270466,797402,3067868
"주력업종별",바이오 의약,333,310,2823693,393525,3217218,1533702,288901,1822603
"주력업종별",바이오 화학·에너지,201,200,2131264,136314,2267578,171532,42725,214257
"주력업종별",바이오 식품,175,173,193172,59012,252184,121053,31315,152368
"주력업종별",바이오 환경,62,60,25505,7657,33162,14103,5637,19740
"주력업종별",바이오 의료기기,109,106,288690,268007,556697,187851,116216,304067
"주력업종별",바이오 장비 및 기기,55,54,29507,9160,38667,22672,9160,31832
"주력업종별",바이오 자원,15,15,40132,1348,41480,12509,1348,13857
"주력업종별",바이오 서비스,105,105,251472,302600,554072,207044,302100,509144
"총 종사자규모별",1~49명,667,657,552873,43264,596137,467295,40558,507853
"총 종사자규모별",50~299명,278,268,1030862,193062,1223924,683114,157693,840807
"총 종사자규모별",300~999명,73,66,748778,132508,881286,377261,119482,496743
"총 종사자규모별",1000명 이상,33,31,3440450,808489,4248939,732324,479369,1211693
"총 종사자규모별",미상,4,1,10472,300,10772,10472,300,10772
"지역별",서울,249,229,674672,36257,710929,349958,30831,380789
"지역별",부산,14,12,3038,420,3458,3038,270,3308
"지역별",인천,29,29,270462,342199,612661,266488,342149,608637
"지역별",대구,13,12,88315,5320,93635,7208,4320,11528
"지역별",광주,6,6,3747,745,4492,1117,725,1842
"지역별",대전,84,84,515909,133149,649058,164780,44175,208955
"지역별",울산,9,9,48763,800,49563,26862,720,27582
"지역별",세종,4,3,9627,8000,17627,4310,3000,7310
"지역별",경기,350,346,3329048,496113,3825161,876356,243619,1119975
"지역별",강원,44,43,115416,14039,129455,100522,14039,114561
"지역별",충북,84,82,469293,69140,538433,317991,66587,384578
"지역별",충남,41,41,111609,8320,119929,40410,5720,46130
"지역별",전북,31,31,50257,11218,61475,29205,8800,38005
"지역별",전남,37,37,11535,10320,21855,9103,9320,18423
"지역별",경북,25,24,56213,11613,67826,56050,10962,67012
"지역별",경남,27,27,18647,24720,43367,13784,6915,20699
"지역별",제주,8,8,6884,5250,12134,3284,5250,8534
